build,origin,share_to_CA
scen_structured_rand,DC,0.009899246457528241
scen_structured_rand,DE,0.010429919006149653
scen_structured_rand,FL,0.045781081262603815
scen_structured_rand,GA,0.04143775487524547
scen_structured_rand,HI,0.40554089860605524
scen_structured_rand,IA,0.08362870961849377
scen_structured_rand,ID,0.599108924822869
scen_structured_rand,IL,0.0618588824288197
scen_structured_rand,IN,0.03499027577255841
scen_structured_rand,KS,0.06649879674723948
scen_structured_rand,KY,0.03373235514974481
scen_structured_rand,LA,0.026403082926295743
scen_structured_rand,MA,0.014823118304737147
scen_structured_rand,MD,0.008703624767796054
scen_structured_rand,ME,0.024737105027034252
scen_structured_rand,MI,0.07269588065715134
scen_structured_rand,MN,0.10517318448011943
scen_structured_rand,MO,0.07186784143587899
scen_structured_rand,MS,0.03795490504606387
scen_structured_rand,MT,0.2269361469894847
scen_structured_rand,NC,0.034586969561734106
scen_structured_rand,ND,0.15253462635501866
scen_structured_rand,NE,0.0766255273452785
scen_structured_rand,NH,0.01013139982051439
scen_structured_rand,NJ,0.01203451354536476
scen_structured_rand,NM,0.19551547912415795
scen_structured_rand,NV,0.9191770543139594
scen_structured_rand,NY,0.02328030973952373
scen_structured_rand,OH,0.03575296695467051
scen_structured_rand,OK,0.07396797302602355
scen_structured_rand,OR,0.5135014300974745
scen_structured_rand,PA,0.02166526633651205
scen_structured_rand,RI,0.0052743180119999376
scen_structured_rand,SC,0.040342356066909994
scen_structured_rand,SD,0.1153428665662134
scen_structured_rand,TN,0.056316056922719196
scen_structured_rand,TX,0.14685070585149942
scen_structured_rand,UT,0.4741303296113001
scen_structured_rand,VA,0.023841120735490478
scen_structured_rand,VT,0.011269118960754236
scen_structured_rand,WA,0.4049782707026678
scen_structured_rand,WI,0.0828766418682747
scen_structured_rand,WV,0.015480772563193513
scen_structured_rand,WY,0.0860217217006594
scen_random_0,AK,0.31205213527870856
scen_random_0,AL,0.05885711828338445
scen_random_0,AR,0.07879892311644623
scen_random_0,AZ,0.2950333756835569
scen_random_0,CA,0.0
scen_random_0,CO,0.2169751608148412
scen_random_0,CT,0.027819229182580587
scen_random_0,DC,0.022148750254686426
scen_random_0,DE,0.03808259485767304
scen_random_0,FL,0.06436002925808997
scen_random_0,GA,0.06625849764414835
scen_random_0,HI,0.2709181140748904
scen_random_0,IA,0.09031537219728601
scen_random_0,ID,0.36277547943874405
scen_random_0,IL,0.06949265173802875
scen_random_0,IN,0.053600412132443695
scen_random_0,KS,0.08341361401341671
scen_random_0,KY,0.058498410131087156
scen_random_0,LA,0.0348006702355685
scen_random_0,MA,0.024047700339804728
scen_random_0,MD,0.021389309959010946
scen_random_0,ME,0.05495422584227679
scen_random_0,MI,0.07858984446558191
scen_random_0,MN,0.1000088926907213
scen_random_0,MO,0.07744052959711005
scen_random_0,MS,0.060045545485349336
scen_random_0,MT,0.1640108873723453
scen_random_0,NC,0.05256541214622141
scen_random_0,ND,0.15365915825915658
scen_random_0,NE,0.09147862138402318
scen_random_0,NH,0.022826178479731046
scen_random_0,NJ,0.024393857602753293
scen_random_0,NM,0.19108755667676305
scen_random_0,NV,0.6891788929535368
scen_random_0,NY,0.0417122605674315
scen_random_0,OH,0.05360641939688359
scen_random_0,OK,0.07915751649464307
scen_random_0,OR,0.4532980004215108
scen_random_0,PA,0.04106022702263103
scen_random_0,RI,0.0226663714804463
scen_random_0,SC,0.05458134898763815
scen_random_0,SD,0.12659700954519798
scen_random_0,TN,0.07021136368570594
scen_random_0,TX,0.12139023305249051
scen_random_0,UT,0.3203193836571194
scen_random_0,VA,0.05146917247049306
scen_random_0,VT,0.03626437775902853
scen_random_0,WA,0.24352451222891175
scen_random_0,WI,0.08814780987062105
scen_random_0,WV,0.026778502012279475
scen_random_0,WY,0.10292075129241605
scen_random_1,AK,0.14681898446170452
scen_random_1,AL,0.054847627529610345
scen_random_1,AR,0.07727246334797737
scen_random_1,AZ,0.3164642767948169
scen_random_1,CA,0.0
scen_random_1,CO,0.16474867956481304
scen_random_1,CT,0.028109383612736228
scen_random_1,DC,0.017116827409970562
scen_random_1,DE,0.021105439872364382
scen_random_1,FL,0.05865202269063014
scen_random_1,GA,0.055870179908630045
scen_random_1,HI,0.29564852623487675
scen_random_1,IA,0.08289465849236942
scen_random_1,ID,0.44992302332614026
scen_random_1,IL,0.07240157443430355
scen_random_1,IN,0.05536453280685471
scen_random_1,KS,0.07284737208346351
scen_random_1,KY,0.05145746088584113
scen_random_1,LA,0.04495468966756615
scen_random_1,MA,0.0342089476889804
scen_random_1,MD,0.02687577338860502
scen_random_1,ME,0.04277662701245347
scen_random_1,MI,0.07888182539056197
scen_random_1,MN,0.09300249790721524
scen_random_1,MO,0.07697477154738867
scen_random_1,MS,0.059497372934884316
scen_random_1,MT,0.14173828445196768
scen_random_1,NC,0.04898566019039603
scen_random_1,ND,0.1146552371869364
scen_random_1,NE,0.08247516719464074
scen_random_1,NH,0.04018191117980311
scen_random_1,NJ,0.033420027652595115
scen_random_1,NM,0.11582616427804135
scen_random_1,NV,0.7836603139549938
scen_random_1,NY,0.04592382111448535
scen_random_1,OH,0.05570400480608128
scen_random_1,OK,0.10052228150480823
scen_random_1,OR,0.4936672340984658
scen_random_1,PA,0.04250442158038778
scen_random_1,RI,0.02563175098862763
scen_random_1,SC,0.06116392862874909
scen_random_1,SD,0.1081950446676022
