sector,build,Leontief,IIM,Ghosh
Real estate activities,g0.5,-16101.674224594839,-29217.476843349068,-23336.68282759402
Support activities for mining,g0.5,-216.8375874433842,-393.8464551100973,-985.834914955481
T,g0.5,0.0,0.0,0.0
Warehousing and support activities for transportation,g0.5,-4941.434894622334,-9591.282154502605,-2986.4981935186447
Water transport,g0.5,-263.0296856234457,-479.2457214428722,-600.4831992254542
"broadcasting, telecommunications, data processing, publishing, information services, motion picture, video, television",g0.5,-18962.804509838403,-40193.24081417625,-16879.172110360505
primary metals,g0.5,-1785.6305325265541,-3741.4068110171115,-1958.1808282090806
Accommodation and food service activities,g0.75,-2371.362484345227,-4581.2886603268,-8129.270347150009
Administrative and support service activities,g0.75,-15495.861519145821,-31006.78784324928,-8776.532429844387
"Agriculture, hunting, forestry, fishing and related",g0.75,-2422.601939345228,-3482.4181239509435,-2827.3858226801985
Air transport,g0.75,-1025.1009975289878,-2057.391843604448,-1092.226459496862
"Arts, entertainment and recreation activities",g0.75,-1171.2430828346785,-2349.699437050892,-2179.1405340347237
Construction,g0.75,-2073.2321742883123,-3651.219141883757,-8737.404556622805
Education and public administration,g0.75,-9521.896725286762,-16426.074164380778,-23301.039615235473
"Electricity, gas, steam and air conditioning supply, and wasterwater",g0.75,-3059.1615893649264,-5372.789352893462,-3708.639362176064
Financial and insurance activities,g0.75,-27446.807442790712,-58572.504421995174,-37675.682094048956
Human health and social work activities,g0.75,-2205.8636711425233,-2482.2955239533667,-16317.399622352305
Land transport and transport via pipelines,g0.75,-3370.8164177516023,-5973.4893998722455,-4189.791363941943
"Manufacture of chemicals and chemical products, pharmaceutical",g0.75,-4508.400193825939,-8160.403677150489,-5079.7443318091
Manufacture of coke and refined petroleum products,g0.75,-4515.204355990528,-8135.115324442565,-1549.3611815822114
"Manufacture of computer, electronic and optical products",g0.75,-868.9369599201074,-1631.2452968105174,-1310.5243973084964
Manufacture of electrical equipment,g0.75,-430.7922448058489,-708.2692867431006,-808.772816430725
Manufacture of fabricated metal products,g0.75,-3112.4005068280594,-5233.898656577007,-2870.4121386860884
Manufacture of food and beverage and tobacco products,g0.75,-1626.7422990155892,-2230.7556455229233,-7789.280143963958
Manufacture of furniture,g0.75,-2177.985830402927,-2827.8678969365815,-1788.8909808819967
Manufacture of machinery and equipment n.e.c. ,g0.75,-909.9547986817565,-1528.7504841840978,-2620.7061661415673
"Manufacture of motor vehicles, trailers and semi-trailers",g0.75,-1093.2915476651444,-1936.2463869435762,-5450.559839749717
Manufacture of other non-metallic mineral products,g0.75,-1357.8030109725037,-2208.7746534241764,-960.4916966479196
Manufacture of other transport equipment,g0.75,-832.2956324986758,-1244.1627890757013,-1969.3104496908893
Manufacture of paper and paper products,g0.75,-2534.9113738018655,-4900.481864576073,-2159.9557883793304
Manufacture of rubber and plastic products,g0.75,-1820.5475097582232,-3032.170166362469,-2052.232390769809
"Manufacture of textiles, wearing apparel, leather and related products",g0.75,-183.73220614024012,-286.21354709117804,-535.1271576702724
Manufacture of wood and of products of wood and cork,g0.75,-1311.3946126969233,-2070.3213460233346,-753.484626405498
"Mining, except oil & gas",g0.75,-974.3656433563848,-1848.9884376568148,-655.0554576074646
Oil and gas extraction,g0.75,-2427.895986744725,-4354.417232829044,-1303.5974306214216
Other services + wholesale/retail,g0.75,-14713.770203703787,-25282.91290990635,-31459.24965312518
"Professional, scientific and technical activities",g0.75,-25587.739780307227,-50473.15012038672,-17795.374960205052
