region,build,Leontief,IIM,Ghosh
CYP,g2.0,-11.79081715436045,-24.11012827216981,-33.20328108791545
CZE,g2.0,-100.41245193239547,-179.68710477081166,-166.05942978273777
DC,g2.0,-1381.7309461332825,-2690.530664835346,-1971.4136519716842
DE,g2.0,-1772.841681016406,-3550.4618759367095,-1662.7513606260327
DEU,g2.0,-2129.337254395452,-3936.0541333587407,-3004.8826192700208
DNK,g2.0,-213.8065572371052,-390.9979902921235,-208.5949591233423
EGY,g2.0,-32.947047284221064,-61.56173822093217,-87.18677545015485
ESP,g2.0,-471.2999661172162,-848.3222218433921,-560.5951653447177
EST,g2.0,-17.684373597671218,-32.843654873173385,-16.862563060049936
FIN,g2.0,-129.01512546086943,-236.0937550179148,-228.5645161312273
FL,g2.0,-3738.4201139385455,-7004.432108288666,-8715.20318423006
FRA,g2.0,-943.7724246229615,-1672.6669514221192,-1620.3299039433973
GA,g2.0,-2530.4867613985753,-4763.5081469104025,-5007.14617563483
GBR,g2.0,-2336.2388438536063,-4645.705733450371,-2546.281091128188
GRC,g2.0,-108.1051141504878,-203.50728011846195,-115.95317684173556
HI,g2.0,-478.9686417127531,-887.7053530674903,-1010.975628830161
HKG,g2.0,-239.13088937862398,-484.5097508334299,-336.0711805683384
HRV,g2.0,-10.927263456825054,-19.660827481673465,-23.943957374616133
HUN,g2.0,-76.44662430853391,-137.95642718512153,-138.71303011742273
IA,g2.0,-763.0081663099368,-1334.173874965217,-1270.1902876816255
ID,g2.0,-143.23426190817636,-245.51765822764264,-295.5179192231444
IDN,g2.0,-282.7003071316862,-467.81565312352046,-297.46753094287607
IL,g2.0,-3298.7607437478523,-6113.463453762181,-6132.76669307943
IN,g2.0,-2336.940277944017,-4224.796233302355,-3764.6082710183355
IND,g2.0,-1738.753549239704,-3207.6911412063087,-1081.8234066067212
IRL,g2.0,-676.0742138355473,-1261.9871149400253,-2931.9594950478795
ISL,g2.0,-22.348496366406284,-37.35626446774043,-25.009896732234996
ISR,g2.0,-343.05529666779296,-621.0340154166884,-395.2014406761286
ITA,g2.0,-699.0548101325189,-1199.7666128096155,-879.688202509374
JOR,g2.0,-10.046435809731475,-18.572569274874866,-23.791003387173266
JPN,g2.0,-1771.1118715979921,-3179.571841537086,-3020.2478335983183
KAZ,g2.0,-46.563655534125004,-85.00582589034474,-55.27624902109976
KHM,g2.0,-7.132682757795244,-11.965706694477948,-5.094235755796294
KOR,g2.0,-1149.5902681215453,-2038.4620948622387,-1800.8720737362241
KS,g2.0,-620.9820783126723,-1106.45004165735,-1089.6137571457825
KY,g2.0,-1254.0652838596616,-2292.905148879301,-2336.093429622457
LA,g2.0,-1295.7059568220911,-2341.0723950497536,-1631.1322532981449
LAO,g2.0,-2.19117780267922,-3.743113911487386,-1.5750847610285845
LTU,g2.0,-26.239042944816656,-46.3228538998964,-18.9613982168008
LUX,g2.0,-140.22986030704297,-286.12663809834635,-478.19827237637094
LVA,g2.0,-10.172189633362915,-18.209938665136367,-16.913774642695913
MA,g2.0,-28429.25610595758,-54588.147204539724,-31097.810617778057
